source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs
892348694913501952,2.9247973,3.2107816,2.7979324,0.4128492,NOT_AVAILABLE,0,false,6,6
4976894960284258048,5.586702,5.839098,5.1695895,0.66950846,NOT_AVAILABLE,1,true,80,71
2309813109479463040,5.12059,5.3561015,4.746702,0.6093993,NOT_AVAILABLE,0,true,30,25
4925088171405735680,5.447885,5.68969,5.053411,0.6362791,NOT_AVAILABLE,0,true,45,44
4988805179472314368,5.89374,6.02656,5.6365094,0.3900504,NOT_AVAILABLE,0,true,50,42
4934923028038871296,4.8279195,5.1077824,4.3799143,0.7278681,NOT_AVAILABLE,0,true,69,63
4911306239828325760,5.6254873,6.089998,4.9957995,1.0941982,NOT_AVAILABLE,0,true,40,39
4912580642524184960,5.383109,5.6573124,4.9468093,0.7105031,NOT_AVAILABLE,0,true,46,42
4712976435488313216,6.766901,6.7260513,6.80822,-0.08216858,VARIABLE,0,true,41,41
2461043306017773696,4.5682287,4.743406,4.2835884,0.4598174,NOT_AVAILABLE,0,true,34,28
4961654629610389376,5.787674,6.340491,5.0844045,1.2560863,NOT_AVAILABLE,0,true,71,67
4942522955488925696,3.213741,4.672714,2.3592534,2.3134608,NOT_AVAILABLE,0,false,53,53
2492286341237939328,4.9186435,5.880707,3.9409704,1.9397364,NOT_AVAILABLE,0,true,21,21
5119953517683718400,5.0178437,5.3485856,4.539122,0.8094635,NOT_AVAILABLE,0,true,32,28
5173902189571919872,5.665346,5.924323,5.245715,0.67860794,NOT_AVAILABLE,0,false,14,12
4748477123328077696,6.117247,8.909651,3.3091843,5.6004667,NOT_AVAILABLE,0,true,33,34
2498086746110685696,6.5591326,6.714404,6.2672334,0.44717073,NOT_AVAILABLE,0,false,16,16
5065109121778224768,6.1527,6.4137325,5.7097917,0.70394087,NOT_AVAILABLE,0,true,69,68
5073246882211822720,5.5986996,5.800275,5.253926,0.54634905,NOT_AVAILABLE,0,true,44,40
5059348952161258624,3.8014393,4.082066,3.3602977,0.7217684,NOT_AVAILABLE,0,true,109,107
4727337637895749888,4.5381293,5.936224,3.4171982,2.5190258,VARIABLE,0,true,49,49
4860808694421129600,6.38485,6.412812,6.3074155,0.10539675,NOT_AVAILABLE,0,true,54,50
5164707970261890560,3.465752,3.9824479,2.8421502,1.1402977,NOT_AVAILABLE,0,false,28,28
3263836568394170880,4.1410933,4.4336386,3.6758435,0.7577951,NOT_AVAILABLE,0,false,20,21
5164120762333028736,3.2755666,3.85296,2.6867616,1.1661985,NOT_AVAILABLE,0,false,22,21
5084391257193086336,6.452487,6.8834033,5.8414974,1.0419059,NOT_AVAILABLE,0,true,55,51
5114586492192519168,5.9420676,6.0867114,5.673399,0.41331244,NOT_AVAILABLE,0,false,34,32
3245123980001812864,5.567367,6.066356,4.9079843,1.1583719,NOT_AVAILABLE,0,false,27,27
4840555106121661952,4.776711,5.0161333,4.5301957,0.4859376,NOT_AVAILABLE,0,true,33,29
4676528209144882304,3.1259058,3.7202733,2.571394,1.1488793,NOT_AVAILABLE,0,true,48,48
4781833626056162688,4.1875706,4.3386145,3.8836932,0.45492125,VARIABLE,0,false,23,22
4897544649215563008,6.04229,6.164311,5.811387,0.35292387,NOT_AVAILABLE,0,true,54,49
4615219578218188928,7.1553926,7.097782,7.205168,-0.107385635,NOT_AVAILABLE,0,true,35,35
3188395880157173120,5.6183434,5.931427,5.139708,0.79171896,NOT_AVAILABLE,0,true,35,33
3289656915346252032,6.81336,6.7746882,6.8239717,-0.049283504,NOT_AVAILABLE,0,true,45,39
