CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
HD159222,1335880415564253312,  6.3771229,  6.6885324,  5.8954759,  0.7930565,NOT_AVAILABLE,      0,true, 40, 35,     263.0041333333333569,      34.2711483333333291,     263.0028399906697132,      34.2714305852942331,hd159222_stis_009.fits,  1,OK,G1V,G1V,   6040.0,   5.00,   0.31,,   0.04,   3.10
HD160617,5957698605530828032,  8.5856571,  8.8414412,  8.1493654,  0.6920757,NOT_AVAILABLE,      0,true, 52, 48,     265.7055124999999975,     -40.3209733333333347,     265.7051512628297587,     -40.3227215532580843,hd160617_stis_006.fits,  0,ChP,G0,F,   6040.0,   3.50,  -1.79,,   0.01,   3.10
HD163466,1435190745326633984,  6.8304276,  6.9163818,  6.6511374,  0.2652445,NOT_AVAILABLE,      0,true, 30, 28,     268.1057250000000067,      60.3963719444444465,     268.1057076450911154,      60.3965619474233222,hd163466_stis_006.fits,  0,OK,A2,A6V,   7870.0,   3.65,  -0.34,0.17,   0.02,   3.10
HD1654595,2152139190687051008,  6.8500319,  6.8960466,  6.7397447,  0.1563020,NOT_AVAILABLE,      0,true, 31, 31,     270.6280874999999924,      58.6272666666666638,     270.6279761160698740,      58.6273753148288819,hd165459_stisnic_007.fits,  0,OK,A1V,A4V,   8520.0,   4.20,   0.11,,   0.02,   3.10
HD167060,6634011506225360640,  8.7859402,  9.0972719,  8.3053312,  0.7919407,NOT_AVAILABLE,      0,true, 43, 42,     274.4339291666666441,     -61.7087833333333364,     274.4347593039627782,     -61.7094292396063580,hd167060_stis_006.fits,  1,OK,G3V,G3V,   6110.0,   4.40,   0.17,<0.09,   0.06,   3.10
HD172728,2160077939517532544,  5.7176337,  5.6931252,  5.7371311, -0.0440059,NOT_AVAILABLE,      0,true, 19, 20,     279.3896541666666735,      62.5265758333333324,     279.3895693485052902,      62.5267962574370557,hd172728_stis_003.fits,  0,OK,A0V,A0V,  10580.0,   3.75,  -0.03,,   0.01,   3.10
HD180609,2254144423451326080,  9.4164467,  9.4684935,  9.2979584,  0.1705351,NOT_AVAILABLE,      0,true, 67, 71,     288.1966666666666583,      64.1769936111111150,     288.1966335506685937,      64.1769582733467701,hd180609_stis_007.fits,  1,OK,A0V,A0V,   8500.0,   4.00,  -0.41,<0.13,   0.03,   3.10
HD185975,6342346358822630400,  7.9423928,  8.2779951,  7.4330344,  0.8449607,NOT_AVAILABLE,      0,true, 46, 49,     307.0780833333333248,     -87.4722050000000024,     307.0951912854079069,     -87.4724585641460521,hd185975_stis_008.fits,  1,OK,G3V,G3V,   5650.0,   4.20,   0.07,,   0.00,   3.10
HD200654,6477295296414847232,  8.8851786,  9.2457256,  8.3321772,  0.9135485,NOT_AVAILABLE,      0,true, 51, 54,     316.6447958333333759,     -49.9639666666666713,     316.6461372399498373,     -49.9651847099364801,hd200654_stis_008.fits,  0,ChP,CEMP,G,   5440.0,   2.75,  -2.46,,   0.05,   3.10
HD200775,2270245431209611776,  7.1798654,  7.4341650,  6.7113237,  0.7228413,VARIABLE,      0,false, 40, 39,     315.4038374999999519,      68.1632749999999987,     315.4039265099901286,      68.1632623464514893,hd200775_stis_001.fits,  0,HeAB,B2Ve,B2Ve,      0.0,   0.00,   0.00,,   0.00,   0.00
HD205905,6810896745007524736,  6.6017141,  6.9044824,  6.1270404,  0.7774420,NOT_AVAILABLE,      0,true, 50, 46,     324.7922958333333554,     -27.3065730555555568,     324.7942172358937114,     -27.3069471474000807,hd205905_stis_010.fits,  0,OK,G1.5IV-V,G2V,   6240.0,   5.00,   0.36,0.26,   0.07,   3.10
HD2094586,1779546757669063552,  7.5212455,  7.7932835,  7.0802879,  0.7129955,VARIABLE,      0,true, 21, 19,     330.7948875000000157,      18.8843191666666677,     330.7950262642414714,      18.8842393829038286,hd209458_stisnic_008.fits,  0,VAR,F9V,G0V,   6110.0,   4.15,   0.00,,   0.00,  99.00
HD2811,4992412432308644224,  7.4997554,  7.5711908,  7.3364954,  0.2346954,NOT_AVAILABLE,      0,true, 63, 59,       7.8270416666666680,     -43.6063883333333351,       7.8270043604566188,     -43.6064075730975560,hd2811_stis_005.fits,  1,OK,A3V,A3V,   7940.0,   3.55,  -0.29,,   0.02,   3.10
HD37725,3444212584803426048,  8.3088837,  8.3793602,  8.1539621,  0.2253981,NOT_AVAILABLE,      0,true, 53, 52,      85.4765416666666766,      29.2974875000000026,      85.4766170306891127,      29.2973683705601182,hd37725_stiswfc_005.fits,  1,OK,A3V,A3V,   8330.0,   4.25,  -0.15,0.13,   0.04,   3.10
HD37962,2902205991429301888,  7.6904383,  8.0098162,  7.1947718,  0.8150444,NOT_AVAILABLE,      0,true, 46, 44,      85.2165250000000043,     -31.3511072222222253,      85.2162142588180700,     -31.3527301875496214,hd37962_stis_011.fits,  1,OK,G2V,G2V,   5880.0,   4.80,  -0.02,<0.09,   0.03,   3.10
HD38949,2915523482424724224,  7.6716800,  7.9537044,  7.2197580,  0.7339463,NOT_AVAILABLE,      0,true, 62, 62,      87.0835791666666665,     -24.4638480555555553,      87.0834300765209122,     -24.4640056807923187,hd38949_stis_008.fits,  1,OK,G1V,G1V,   6010.0,   4.75,  -0.08,1.17,   0.00,   3.10
HD55677,3167212139383161216,  9.4347153,  9.4699907,  9.3417578,  0.1282330,NOT_AVAILABLE,      0,true, 24, 25,     108.6303750000000008,      13.8602172222222215,     108.6303617798941019,      13.8601880134912641,hd55677_stis_005.fits,  1,OK,A4V,A4V,   8710.0,   3.80,  -0.84,0.24,   0.04,   3.10
HD607537,5493730399606077440,  6.6564989,  6.6062956,  6.6971402, -0.0908446,NOT_AVAILABLE,      0,true, 31, 29,     113.3638291666666618,     -50.5842544444444471,     113.3638074910176812,     -50.5842294715729679,hd60753_stis_004.fits,  0,OK,B3IV,B3IV,      0.0,   0.00,   0.00,,   0.00,   0.00
HD93521,775029739076581248,  6.9734440,  6.8313384,  7.2043676, -0.3730292,NOT_AVAILABLE,      0,true, 29, 24,     162.0979624999999942,      37.5703008333333344,     162.0979663421485100,      37.5703103984640094,hd93521_stis_007.fits,  0,OK,O9.5IIInn,O9Vp,  27750.0,   3.10,   0.30,,   0.00,  99.00
HS2027+0651,1748833236082347136, 16.6242714, 16.4839478, 16.8951988, -0.4112511,VARIABLE,      0,true, 42, 42,     307.3854416666666793,       7.0188052777777781,     307.3854829313364121,       7.0188128758772068,hs2027_stis_006.fits,  0,OK,DO,DO,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ21,4016474027321256704, 14.6355734, 14.4533911, 14.9624996, -0.5091085,VARIABLE,      0,true, 32, 30,     183.4844333333333282,      32.9420441666666619,     183.4838989742950162,      32.9421783157602874,hz21_stis_007.fits,  0,OK,DO1,DO2,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ438,1461833904932026368, 12.8568001, 12.6317358, 12.9669886, -0.3352528,NOT_AVAILABLE,      0,true, 77, 73,     199.0910541666666802,      29.0987252777777776,     199.0902516709756753,      29.0982490298595842,hz43_stis_005.fits,  0,OK,DAwk,DA,      0.0,   0.00,   0.00,,   0.00,   0.00
