CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
HD38949,2915523482424724224,  7.6716800,  7.9537044,  7.2197580,  0.7339463,NOT_AVAILABLE,      0,1.0, 62, 62,      87.0835792000000026,     -24.4638480999999999,      87.0834300765209122,     -24.4640056807923187,hd38949_stis_009.fits,  1,OK,G1V,G1V,   6340.0,   5.00,   0.16,1.17,   0.06,   3.10
HD55677,3167212139383161216,  9.4347153,  9.4699907,  9.3417578,  0.1282330,NOT_AVAILABLE,      0,1.0, 24, 25,     108.6303750000000008,      13.8602171999999992,     108.6303617798941019,      13.8601880134912641,hd55677_stis_006.fits,  1,OK,A4V,A4V,   8680.0,   3.80,  -0.93,0.24,   0.03,   3.10
HD607537,5493730399606077440,  6.6564989,  6.6062956,  6.6971402, -0.0908446,NOT_AVAILABLE,      0,1.0, 31, 29,     113.3638291999999979,     -50.5842543999999990,     113.3638074910176812,     -50.5842294715729679,hd60753_stis_004.fits,  0,OK,B3IV,B3IV,     99.0,  99.99,  99.99,,  99.99, 100.00
HD93521,775029739076581248,  6.9734440,  6.8313384,  7.2043676, -0.3730292,NOT_AVAILABLE,      0,1.0, 29, 24,     162.0979624999999942,      37.5703007999999983,     162.0979663421485100,      37.5703103984640094,hd93521_stis_007.fits,  0,OK,O9.5IIInn,O9Vp,  27750.0,   3.10,   0.30,,   0.00, 100.00
HS2027+0651,1748833236082347136, 16.6242714, 16.4839478, 16.8951988, -0.4112511,VARIABLE,      0,1.0, 42, 42,     307.3854417000000012,       7.0188053000000004,     307.3854829313364121,       7.0188128758772068,hs2027_stis_006.fits,  0,OK,DO,DO,     99.0,  99.99,  99.99,,  99.99, 100.00
HZ21,4016474027321256704, 14.6355734, 14.4533911, 14.9624996, -0.5091085,VARIABLE,      0,1.0, 32, 30,     183.4844333000000063,      32.9420441999999980,     183.4838989742950446,      32.9421783157602874,hz21_stis_007.fits,  0,OK,DO1,DO2,     99.0,  99.99,  99.99,,  99.99, 100.00
HZ438,1461833904932026368, 12.8568001, 12.6317358, 12.9669886, -0.3352528,NOT_AVAILABLE,      0,1.0, 77, 73,     199.0910542000000021,      29.0987253000000017,     199.0902516709756753,      29.0982490298595842,hz43_stis_005.fits,  0,OK,DAwk,DA,     99.0,  99.99,  99.99,,  99.99, 100.00
HZ43B8,1461833904930595968, 13.5928078, 14.2031555, 11.9899101,  2.2132454,NOT_AVAILABLE,      0,0.0, 13, 13,     199.0895332999999994,      29.0980583000000017,     199.0895316693303982,      29.0980582997465476,hz43b_stis_005.fits,  0,OK,M3.5Ve,M3Ve,     99.0,  99.99,  99.99,,  99.99, 100.00
HZ44,1473687671071803520, 11.6131954, 11.4427538, 11.9433174, -0.5005636,NOT_AVAILABLE,      0,1.0,101, 99,     200.8969291999999882,      36.1332067000000023,     200.8965657188695957,      36.1331871159112410,hz44_stis_006.fits,  1,OK,sdBN0VIIHe28,sdB,     99.0,  99.99,  99.99,,  99.99, 100.00
HZ4,3302846072717868416, 14.5478401, 14.5202618, 14.6349630, -0.1147013,VARIABLE,      0,1.0, 40, 38,      58.8416167000000030,       9.7883707999999992,      58.8423987810996678,       9.7883460846594357,hz4_stis_008.fits,  0,OK,DA3.4,DA3.4,     99.0,  99.99,  99.99,,  99.99, 100.00
