NGSL_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namecsv,bestfitFLAG,COMMENT,Sp,Teff,logg,FeH,EBV
HD193896,6905364821265383424,  6.0476255,  6.5087433,  5.4141927,  1.0945506,NOT_AVAILABLE,      0,true, 26, 25,     305.7532909999999902,      -9.6547110000000007,     305.7534019999999941,      -9.6547836000000000,HD193896.fits.csv,  0,OK,G5IIIa,   5206.0,   2.55,  -0.07,   0.03
HD194093,2067518817314952576,  2.1137252,  3.1674535,  2.1739058,  0.9935477,NOT_AVAILABLE,      0,false,  8,  9,     305.5570910000000140,      40.2566789999999983,     305.5571079000000054,      40.2566735999999992,HD194093.fits.csv,  0,SAT,F8Ib,   6000.0,   0.85,   0.15,   0.23
HD194453,4246840611198113024,  6.7431183,  6.7294226,  6.7277803,  0.0016422,NOT_AVAILABLE,      0,true, 39, 35,     306.3559480000000121,       6.6418039999999996,     306.3559604999999806,       6.6417928000000002,HD194453.fits.csv,  0,OK,A0III,  10342.0,   3.69,  -0.06,   0.07
HD195434A,4245659976227848704,  9.0636873,  9.4777479,  8.2762671,  1.2014809,VARIABLE,      0,true, 36, 35,     307.8061000000000149,       5.2190320000000003,     307.8074680999999941,       5.2202899000000000,HD195434.fits.csv,  0,EB,K2,   4858.0,   4.40,  -0.57,   0.03
HD196218,4233114892151395712,  7.2948866,  7.5432358,  6.8765516,  0.6666842,NOT_AVAILABLE,      0,true, 44, 42,     308.9286089999999945,       3.3029229999999998,     308.9280016999999816,       3.3025910000000001,HD196218.fits.csv,  0,OK,F7V,   6207.0,   4.11,  -0.19,   0.03
HD196426,4231133434759619200,  6.1950116,  6.1439528,  6.2488661, -0.1049132,NOT_AVAILABLE,      0,true, 34, 31,     309.3265910000000076,       0.0969610000000000,     309.3266098999999940,       0.0969036000000000,HD196426.fits.csv,  0,OK,B8IIIpec,  12951.0,   4.10,   0.22,   0.05
HD196662,6863409385992156800,  5.6956134,  5.1414652,  5.2978034, -0.1563382,NOT_AVAILABLE,      0,true, 27, 26,     309.8179900000000089,     -14.9547600000000003,     309.8180037000000198,     -14.9548626000000002,HD196662.fits.csv,  0,DMS,B7III,  15439.0,   3.90,   0.14,   0.09
HD196725,1756079606122005248,  5.1908336,  5.9669728,  4.3343167,  1.6326561,NOT_AVAILABLE,      0,true, 38, 35,     309.6832769999999755,      13.3151259999999994,     309.6832908000000089,      13.3151268999999992,HD196725.fits.csv,  0,RSG,K3Ib,   4260.0,   1.18,   0.06,   0.21
HD196892,6858374206854249728,  8.0958214,  8.3598843,  7.6571422,  0.7027421,NOT_AVAILABLE,      0,true, 42, 42,     310.2057510000000207,     -18.7925800000000010,     310.2059634999999957,     -18.7944892999999986,HD196892.fits.csv,  1,OK,F6V,   6028.0,   4.17,  -0.99,   0.02
HD197177,1863091877405053184,  5.3753695,  5.8799629,  4.7155299,  1.1644330,NOT_AVAILABLE,      0,true, 50, 49,     310.2605919999999742,      32.3072879999999998,     310.2606091000000106,      32.3072388000000004,HD197177.fits.csv,  0,DMS,G8IIb,   4955.0,   2.07,   0.02,   0.10
HD197964,1763000413344449792,  3.9899371,  4.5272799,  3.3131208,  1.2141590,NOT_AVAILABLE,      0,true, 44, 44,     311.6645800000000008,      16.1242880000000000,     311.6644415999999751,      16.1234162000000012,HD197964.fits.csv,  0,DMS,K1IV,   4783.0,   3.05,   0.09,   0.01
HD198809,1845660598015820800,  4.3485847,  4.7740283,  3.7514946,  1.0225337,NOT_AVAILABLE,      0,true, 58, 57,     313.0320150000000012,      27.0969429999999996,     313.0316601000000105,      27.0966929999999984,HD198809.fits.csv,  0,BIN,G7IIIFe-1,   5075.0,   2.54,  -0.27,   0.01
HD200081,6916198691587462272,  7.7473793,  8.1556759,  7.1610155,  0.9946604,NOT_AVAILABLE,      0,true, 30, 30,     315.3434060000000159,      -2.5140120000000001,     315.3434025000000247,      -2.5140419000000001,HD200081.fits.csv,  0,OK,G5V,   5526.0,   3.25,   0.02,   0.13
HD200905,2162316545207257600,  3.0638983,  4.0959435,  2.3591247,  1.7368188,NOT_AVAILABLE,      0,true, 32, 32,     316.2327589999999873,      43.9278509999999969,     316.2328117999999790,      43.9278571999999983,HD200905.fits.csv,  0,SAT,K4.5Ib-II,   3997.0,   0.92,   0.12,   0.17
