UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namefits,bestfitFLAG,COMMENT,Sptype,Teff,logg,Fe_H,E(B-V)
HD143928,5998513610949980544,  5.8069634,  6.0093627,  5.4543509,  0.5550117,NOT_AVAILABLE,      0,true, 42, 40,     241.1533983999999862,     -37.8629480000000029,     241.1526700000000005,     -37.8634600000000034,HD143928.fits,  0,OK,F5VFe-0.8,   6494.2,   3.53,  -0.51,   0.00
HD144070,4343066192373820800,  4.8511515,  4.4125743,  3.7984643,  0.6141100,NOT_AVAILABLE,      0,false, 28, 27,     241.0923141000000101,     -11.3732074000000001,     241.0919800000000066,     -11.3733509999999995,HD144070.fits,  0,SAT,F4(V),   6458.0,   3.71,  -0.09,   0.12
HD145191,5993676069038147712,  5.8091311,  5.9379911,  5.5643148,  0.3736763,NOT_AVAILABLE,      0,false, 28, 27,     242.8237672999999859,     -41.1198021000000011,     242.8232800000000111,     -41.1203580000000031,HD145191.fits,  0,OK,F2III(+A),   7213.2,   3.84,  -0.03,   0.00
HD145206,4404771472112825088,  4.8215699,  5.6294036,  3.9463494,  1.6830542,NOT_AVAILABLE,      0,false, 37, 35,     242.4604325999999901,      -3.4667441000000001,     242.4603799999999865,      -3.4667576000000002,HD145206.fits,  0,BIN,K4III,   4252.2,   1.09,  -0.54,   0.19
HD145482,6042226413691523712,  4.5251393,  4.4531813,  4.6639366, -0.2107553,NOT_AVAILABLE,      0,true, 37, 31,     243.0758525999999904,     -27.9263759000000000,     243.0757900000000120,     -27.9264839999999985,HD145482.fits,  0,SAT,B2V,  21392.5,   3.89,  -0.02,   0.04
HD145689,5821125860988362752,  5.9334507,  5.9911160,  5.8051219,  0.1859941,NOT_AVAILABLE,      0,true, 67, 62,     244.2725442999999927,     -67.9412841999999983,     244.2719999999999914,     -67.9416590000000014,HD145689.fits,  1,OK,A3V,   8214.0,   4.24,   0.12,   0.00
HD145792,6049891517263095168,  6.4011512,  6.3983288,  6.3033586,  0.0949702,VARIABLE,      0,true, 40, 39,     243.4395747000000085,     -24.4220916999999993,     243.4395299999999907,     -24.4221779999999988,HD145792.fits,  0,VAR,B6IV,  14247.6,   4.12,  -0.25,   0.24
HD145842,5989870075180588160,  5.1029558,  5.0524087,  5.1923647, -0.1399560,NOT_AVAILABLE,      0,true, 29, 23,     243.8138240000000110,     -47.3720198999999980,     243.8136000000000081,     -47.3722229999999982,HD145842.fits,  0,OK,B8V,  12586.1,   3.95,  -0.89,   0.12
HD146143,5935484313053503360,  4.7358780,  5.1611018,  4.1315513,  1.0295506,NOT_AVAILABLE,      0,true, 61, 57,     244.2538921000000016,     -50.0681203999999980,     244.2538800000000094,     -50.0681379999999976,HD146143.fits,  0,OK,F9Ia,   5746.8,   1.05,  -0.53,   0.20
HD146836,6037514800199297152,  5.4003477,  5.6383615,  5.0079441,  0.6304173,NOT_AVAILABLE,      0,true, 35, 34,     244.8864095000000134,     -30.9067113000000013,     244.8868400000000065,     -30.9066049999999990,HD146836.fits,  0,OK,F5IV,   6382.5,   3.41,  -0.40,   0.00
HD148184,4323764712422936704,  4.1996417,  4.4038095,  3.7951148,  0.6086948,NOT_AVAILABLE,      0,true, 41, 41,     246.7559814999999901,     -18.4562500000000007,     246.7559599999999875,     -18.4563489999999994,HD148184.fits,  0,SAT,B2Vne,      NaN,    NaN,    NaN,    NaN
HD148291,5830307779535002624,  4.8325324,  5.4454951,  4.0858884,  1.3596067,NOT_AVAILABLE,      0,true, 96, 87,     247.7056647999999939,     -61.6335058000000018,     247.7055599999999913,     -61.6335499999999996,HD148291.fits,  0,OK,K1IIb,   4627.4,   1.21,  -0.45,   0.11
HD148379,5942196311827421568,  5.1298251,  5.4739356,  4.6031785,  0.8707571,NOT_AVAILABLE,      0,true, 66, 62,     247.4263656999999910,     -46.2432307999999992,     247.4263400000000104,     -46.2432489999999987,HD148379.fits,  0,BS,B2Iab,  18859.0,   2.01,   0.50,   0.35
HD148451,5765239059323778560,  6.3388429,  6.8042049,  5.6962538,  1.1079512,NOT_AVAILABLE,      0,true, 29, 27,     258.9968112999999903,     -87.5662734000000000,     258.9845799999999940,     -87.5669639999999987,HD148451.fits,  0,OK,G5III,   5208.4,   2.47,  -0.54,   0.16
HD148688,5968761685316464128,  5.1760998,  5.3654685,  4.7866483,  0.5788202,VARIABLE,      0,true, 27, 25,     247.9240365999999938,     -41.8171479000000019,     247.9240200000000129,     -41.8171579999999992,HD148688.fits,  0,BS,B1Iaeqp,  22112.5,   2.35,   0.37,   0.43
